,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,PMP100_OnCourt,PMP100_On_Off,BadPassTO,LostBallTO,FoulC_Shoot,FoulC_Off,FoulD_Shoot,FoulD_Off,PGA,And1,Blkd,Season
382,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2016
383,301,C.J. Miles,SF,28,IND,64,1464,,19%,78%,3%,,-0.6,-4.0,37,15,71,12,54,5,150,8,27,2016
384,302,Andre Miller,PG,39,TOT,39,461,93%,8%,,,,3.2,-0.8,27,9,12,1,14,4,198,3,11,2016
385,302,Andre Miller,PG,39,MIN,26,280,99%,1%,,,,-2.8,0.6,19,5,8,1,8,2,136,2,6,2016
386,302,Andre Miller,PG,39,SAS,13,181,83%,17%,,,,12.5,1.1,8,4,4,0,6,2,62,1,5,2016
387,303,Mike Miller,SF,35,DEN,47,373,,,48%,52%,1%,-13.0,-10.9,12,1,24,4,0,1,93,0,3,2016
388,304,Patty Mills,PG,27,SAS,81,1662,100%,,,,,11.8,0.5,47,19,39,5,11,24,498,5,12,2016
389,305,Elijah Millsap,SG,28,UTA,20,173,2%,67%,31%,,,7.3,5.7,4,3,8,1,7,2,47,0,4,2016
390,306,Paul Millsap,PF,30,ATL,81,2647,,,2%,92%,6%,3.5,-0.4,79,69,117,26,183,10,640,39,71,2016
391,307,Nikola Mirotić,PF,24,CHI,66,1646,,,2%,86%,12%,-0.2,2.6,42,35,87,14,58,1,229,6,24,2016
392,308,Nazr Mohammed,C,38,OKC,5,19,,,,,100%,-9.7,-17.0,0,1,2,0,1,0,0,0,0,2016
393,309,Greg Monroe,C,25,MIL,79,2314,,,,,100%,-2.6,3.5,47,55,86,12,142,11,412,35,97,2016
394,310,Luis Montero,SG,22,POR,12,42,,6%,94%,,,-56.5,-57.9,3,1,0,0,1,0,2,0,2,2016
395,311,E'Twaun Moore,SG,26,CHI,59,1263,32%,66%,2%,,,-0.7,1.4,32,14,44,4,14,3,225,5,25,2016
396,312,Eric Moreland,PF,24,SAC,8,48,,,,51%,49%,1.6,4.5,2,1,1,0,1,0,3,0,2,2016
397,313,Marcus Morris,SF,26,DET,80,2856,,,91%,9%,,2.3,6.8,72,32,75,15,105,13,473,25,29,2016
398,314,Markieff Morris,PF,26,TOT,64,1629,,,,85%,15%,-3.4,0.5,56,26,79,33,59,5,293,14,40,2016
399,314,Markieff Morris,PF,26,PHO,37,917,,,,74%,26%,-8.2,-1.2,37,20,44,22,38,2,206,12,33,2016
400,314,Markieff Morris,PF,26,WAS,27,712,,,,99%,1%,2.7,3.8,19,6,35,11,21,3,87,2,7,2016
401,315,Anthony Morrow,SG,30,OKC,68,926,,42%,57%,,,4.1,-4.1,8,6,37,3,12,4,57,3,8,2016
402,316,Donatas Motiejūnas,PF,25,HOU,37,547,,,,86%,14%,3.5,4.0,26,11,23,4,22,7,96,1,9,2016
403,317,Timofey Mozgov,C,29,CLE,76,1326,,,,,100%,1.0,-8.2,14,27,99,13,51,2,79,15,30,2016
404,318,Emmanuel Mudiay,PG,19,DEN,68,2068,86%,14%,,,,-2.8,0.6,126,53,67,14,85,3,841,17,84,2016
405,319,Shabazz Muhammad,SF,23,MIN,82,1682,,50%,50%,1%,,-7.2,-6.6,26,25,52,10,114,6,117,23,55,2016
