,Rk,Player,Pos,Age,Tm,G,MP,PG_Pc,SG_Pc,SF_Pc,PF_Pc,C_Pc,PMP100_OnCourt,PMP100_On_Off,BadPassTO,LostBallTO,FoulC_Shoot,FoulC_Off,FoulD_Shoot,FoulD_Off,PGA,And1,Blkd,Season
614,465,Derrick Williams,SF-PF,22,TOT,78,1820,,,29%,62%,9%,-4.1,-5.0,18,36,63,15,128,8,128,30,31,2014
615,465,Derrick Williams,PF,22,MIN,11,162,,,14%,70%,16%,-6.5,-9.4,1,4,6,1,9,1,3,2,4,2014
616,465,Derrick Williams,SF,22,SAC,67,1658,,,31%,61%,9%,-3.9,-1.3,17,32,57,14,119,7,125,28,27,2014
617,466,Elliot Williams,SG,24,PHI,67,1157,6%,70%,24%,,,-15.0,-6.1,34,15,51,7,49,8,169,10,31,2014
618,467,Lou Williams,PG,27,ATL,60,1445,84%,16%,,,,-5.7,-8.4,54,21,35,4,67,7,473,15,20,2014
619,468,Marvin Williams,PF,27,UTA,66,1674,,,2%,95%,3%,-5.8,3.8,22,14,54,13,32,4,185,7,17,2014
620,469,Mo Williams,PG,31,POR,74,1834,100%,,,,,1.2,-4.9,99,38,75,7,31,24,734,7,19,2014
621,470,Reggie Williams,SF,27,OKC,3,17,,33%,68%,,,-9.3,-16.1,1,1,0,0,0,0,2,0,0,2014
622,471,Shawne Williams,PF,27,LAL,36,751,,1%,8%,91%,,0.8,8.5,8,6,40,5,6,1,78,0,8,2014
623,472,Jeff Withey,C,23,NOP,58,684,,,,34%,66%,2.5,6.2,4,7,45,7,34,0,58,7,17,2014
624,473,Nate Wolters,PG,22,MIL,58,1309,45%,55%,1%,,,-1.2,11.5,38,12,31,3,41,12,439,8,30,2014
625,474,Metta World Peace,SF,34,NYK,29,388,,3%,60%,37%,,2.4,3.9,7,5,11,2,8,1,43,2,7,2014
626,475,Brandan Wright,C,26,DAL,58,1077,,,,2%,98%,5.8,4.5,7,20,49,4,50,1,78,12,17,2014
627,476,Chris Wright,SF,25,MIL,8,126,5%,74%,21%,,,-6.4,2.7,2,1,10,1,6,0,10,2,3,2014
628,477,Dorell Wright,SF,28,POR,68,984,,,55%,45%,,2.9,-1.2,19,12,40,1,28,3,154,3,4,2014
629,478,Tony Wroten,PG,20,PHI,72,1765,50%,48%,2%,,,-12.0,-2.3,105,52,50,23,154,11,477,32,78,2014
630,479,Nick Young,SG,28,LAL,64,1810,3%,40%,56%,1%,,-1.9,7.7,38,36,68,10,122,10,217,34,35,2014
631,480,Thaddeus Young,PF,25,PHI,79,2718,,,,98%,2%,-12.0,-4.1,63,62,99,22,110,6,407,27,83,2014
632,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
633,481,Cody Zeller,C,21,CHA,82,1416,,,,,100%,-2.6,-3.8,39,15,76,17,92,9,208,17,43,2014
634,482,Tyler Zeller,C,24,CLE,70,1049,,,,7%,93%,0.8,5.9,8,20,68,21,58,6,82,11,29,2014
