,Rk,Player,Pos,Age,Tm,G,MP,PG_Pc,SG_Pc,SF_Pc,PF_Pc,C_Pc,PMP100_OnCourt,PMP100_On_Off,BadPassTO,LostBallTO,FoulC_Shoot,FoulC_Off,FoulD_Shoot,FoulD_Off,PGA,And1,Blkd,Season
98,69,Kobe Bryant*,SG,35,LAL,6,177,27%,55%,18%,,,-9.6,-3.7,30,3,5,1,8,0,83,0,5,2014
99,70,Chase Budinger,SF,25,MIN,41,751,,50%,50%,,,-0.7,-3.9,12,6,27,1,19,3,70,3,9,2014
100,71,Reggie Bullock,SF,22,LAC,43,395,,30%,67%,3%,,-1.3,-9.3,6,3,15,1,4,1,27,1,2,2014
101,72,Trey Burke,PG,21,UTA,70,2262,100%,,,,,-6.1,4.5,85,32,69,7,34,10,892,8,29,2014
102,73,Alec Burks,SG,22,UTA,78,2193,6%,89%,5%,,,-7.3,1.4,63,48,91,18,156,20,481,37,67,2014
103,74,Caron Butler,SF,33,TOT,56,1419,,22%,72%,6%,,-6.1,-6.3,27,13,52,11,24,4,192,3,13,2014
104,74,Caron Butler,SF,33,MIL,34,821,,23%,71%,5%,,-12.4,-4.3,22,11,22,10,18,2,130,3,10,2014
105,74,Caron Butler,SF,33,OKC,22,598,,20%,74%,6%,,2.2,-5.5,5,2,30,1,6,2,62,0,3,2014
106,75,Jimmy Butler,SG,24,CHI,67,2591,,71%,29%,,,4.4,6.5,48,25,52,13,148,17,394,22,49,2014
107,76,Rasual Butler,SG,34,IND,50,378,5%,69%,24%,2%,,-4.7,-10.4,8,2,19,0,5,0,39,0,1,2014
108,77,Dwight Buycks,PG,24,TOR,14,146,83%,17%,,,,1.5,-2.2,4,3,3,0,6,0,25,3,4,2014
109,78,Andrew Bynum,C,26,TOT,26,516,,,,,100%,-13.3,-14.9,10,4,18,8,27,0,64,7,12,2014
110,78,Andrew Bynum,C,26,CLE,24,480,,,,,100%,-13.4,-11.3,9,3,17,7,23,0,60,6,11,2014
111,78,Andrew Bynum,C,26,IND,2,36,,,,,100%,-12.7,-17.6,1,1,1,1,4,0,4,1,1,2014
112,79,Will Bynum,PG,31,DET,56,1054,80%,20%,,,,-5.4,-1.9,56,34,42,7,48,4,479,15,30,2014
113,80,Nick Calathes,SG,24,MEM,71,1173,17%,75%,8%,,,2.3,0.3,61,22,40,11,31,7,468,11,25,2014
114,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2014
115,81,José Calderón,PG,32,DAL,81,2468,95%,5%,,,,-0.9,-8.8,68,26,75,5,15,9,851,2,16,2014
116,82,Kentavious Caldwell-Pope,SG,20,DET,80,1583,6%,91%,3%,,,-1.5,4.3,12,8,83,5,27,7,126,8,18,2014
117,83,Isaiah Canaan,PG,22,HOU,22,252,91%,9%,,,,-7.0,-12.7,11,6,12,2,10,3,56,1,6,2014
118,84,DeMarre Carroll,SF,27,ATL,73,2341,,1%,95%,4%,,3.8,10.0,30,24,65,16,66,17,323,17,35,2014
119,85,Vince Carter,SG,37,DAL,81,1973,,30%,70%,,,2.7,0.5,66,16,124,19,66,9,476,14,24,2014
