,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot_1,Off_1,Shoot_2,Off_2,PGA,And1,Blkd,Season
346,274,Kyle Lowry,PG,30,TOR,60,2244,98%,2%,,,,8.2,8.4,102,45,64,11,146,20,940,39,57,2017
347,275,John Lucas III,PG,34,MIN,5,11,100%,,,,,43.0,44.2,0,0,0,0,0,0,2,0,0,2017
348,276,Timothé Luwawu-Cabarrot,SF,21,PHI,69,1190,,37%,62%,1%,,-3.3,3.9,33,21,81,9,45,5,166,4,41,2017
349,277,Trey Lyles,PF,21,UTA,71,1158,,,,93%,7%,1.0,-5.0,32,14,51,8,32,1,177,5,16,2017
350,278,Sheldon Mac,SG,24,WAS,30,287,10%,73%,17%,2%,,-8.2,-10.7,1,2,11,1,10,3,33,2,4,2017
351,279,Shelvin Mack,PG,26,UTA,55,1205,94%,6%,,,,-0.1,-6.6,54,24,28,6,32,3,375,8,19,2017
352,280,Ian Mahinmi,C,30,WAS,31,555,,,,46%,54%,2.4,0.8,7,10,44,12,33,3,48,7,9,2017
353,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2017
354,281,Thon Maker,C,19,MIL,57,562,,,,,100%,-0.8,-1.0,10,2,49,3,25,3,49,7,12,2017
355,282,Boban Marjanović,C,28,DET,35,293,,,,,100%,4.1,6.0,1,4,13,2,24,1,19,12,11,2017
356,283,Jarell Martin,PF,22,MEM,42,558,,,,47%,53%,-4.5,-6.1,12,10,49,5,21,2,19,2,22,2017
357,284,Wesley Matthews,SG,30,DAL,73,2495,,40%,60%,,,-3.8,-1.5,51,37,61,8,61,34,521,8,24,2017
358,285,Luc Mbah a Moute,SF,30,LAC,80,1787,,,71%,29%,,9.9,10.7,20,18,69,3,44,5,89,12,31,2017
359,286,James Michael McAdoo,PF,24,GSW,52,457,,,17%,34%,49%,-2.2,-15.7,10,5,25,4,14,0,44,2,11,2017
360,287,Patrick McCaw,SG,21,GSW,71,1074,4%,69%,27%,,,-1.4,-18.1,26,7,38,0,17,2,186,3,18,2017
361,288,CJ McCollum,SG,25,POR,80,2796,30%,70%,1%,,,0.9,4.1,83,58,111,16,90,11,694,26,76,2017
362,289,T.J. McConnell,PG,24,PHI,81,2133,99%,1%,,,,-6.6,-1.3,106,32,73,3,21,18,1272,7,29,2017
363,290,Chris McCullough,PF,21,TOT,16,80,,,,15%,86%,29.0,31.7,1,1,4,0,2,0,4,1,3,2017
364,290,Chris McCullough,PF,21,BRK,14,72,,,,5%,95%,33.0,40.1,1,1,4,0,1,0,4,1,3,2017
365,290,Chris McCullough,PF,21,WAS,2,8,,,,100%,,-6.3,-8.0,0,0,0,0,1,0,0,0,0,2017
366,291,K.J. McDaniels,SF,23,TOT,49,505,,26%,73%,2%,,-2.1,-2.0,13,10,26,4,9,0,28,4,11,2017
367,291,K.J. McDaniels,SF,23,HOU,29,212,,61%,39%,,,-1.4,-8.0,5,4,11,0,5,0,9,0,6,2017
368,291,K.J. McDaniels,SF,23,BRK,20,293,,1%,97%,3%,,-2.4,4.2,8,6,15,4,4,0,19,4,5,2017
369,292,Doug McDermott,SF,25,TOT,66,1508,,41%,57%,2%,,-3.1,-4.1,13,9,43,4,29,0,138,8,26,2017
370,292,Doug McDermott,SF,25,CHI,44,1078,,50%,49%,1%,,-2.1,-3.0,10,9,25,4,23,0,107,8,23,2017
371,292,Doug McDermott,SF,25,OKC,22,430,,17%,79%,4%,,-5.5,-6.7,3,0,18,0,6,0,31,0,3,2017
372,293,JaVale McGee,C,29,GSW,77,739,,,,,100%,19.6,9.7,10,14,55,10,47,3,41,18,15,2017
373,294,Rodney McGruder,SG,25,MIA,78,1966,7%,62%,31%,1%,,0.4,-1.5,25,23,67,4,27,12,298,5,25,2017
374,295,Ben McLemore,SG,23,SAC,61,1176,11%,82%,7%,,,-5.9,-2.8,28,19,60,5,47,5,115,16,22,2017
375,296,Jordan McRae,SG,25,CLE,37,384,47%,53%,,,,-6.9,-11.3,5,6,15,1,20,4,48,6,18,2017
376,297,Josh McRoberts,PF,29,MIA,22,381,,,,75%,25%,-9.4,-11.6,12,7,10,2,5,0,112,1,12,2017
377,298,Jodie Meeks,SG,29,ORL,36,738,,91%,9%,,,-5.7,1.4,22,9,26,1,32,7,111,3,12,2017
378,299,Salah Mejri,C,30,DAL,73,905,,,,,100%,-0.4,3.6,9,9,62,16,29,3,32,6,9,2017
379,300,Jordan Mickey,PF,22,BOS,25,141,,,3%,73%,24%,-17.2,-21.1,2,4,4,2,5,1,17,2,6,2017
380,Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,2017
381,301,Khris Middleton,SF,25,MIL,29,889,,2%,96%,2%,,5.3,6.7,41,11,35,9,28,4,222,9,12,2017
382,302,C.J. Miles,SF,29,IND,76,1776,,43%,48%,9%,,1.2,2.6,25,9,81,4,32,5,109,11,22,2017
383,303,Mike Miller,SF,36,DEN,20,151,,10%,76%,14%,,-2.6,-2.8,10,0,4,2,0,0,54,0,0,2017
384,304,Patty Mills,PG,28,SAS,80,1754,100%,,,,,11.6,6.7,72,16,36,3,1,23,634,6,14,2017
385,305,Elijah Millsap,SG,29,PHO,2,23,,100%,,,,-9.3,-3.4,1,1,1,0,1,0,3,0,0,2017
386,306,Paul Millsap,PF,31,ATL,69,2343,,,,91%,9%,1.8,7.5,81,48,95,20,177,7,598,37,55,2017
387,307,Nikola Mirotić,PF,25,CHI,70,1679,,,,88%,12%,4.7,8.0,41,19,52,8,50,2,175,9,30,2017
388,308,Greg Monroe,C,26,MIL,81,1823,,,,2%,98%,3.7,6.7,64,54,80,11,122,3,428,35,65,2017
389,309,E'Twaun Moore,SG,27,NOP,73,1820,5%,84%,11%,1%,,-2.8,-1.6,38,10,55,4,27,3,370,8,24,2017
390,310,Marcus Morris,SF,27,DET,79,2565,,1%,95%,5%,,-2.5,-3.0,53,21,88,4,77,8,351,15,22,2017
391,311,Markieff Morris,PF,27,WAS,76,2374,,,,92%,8%,3.6,4.7,58,28,131,31,95,4,290,17,47,2017
392,312,Anthony Morrow,SG,31,TOT,49,714,2%,65%,32%,1%,,-2.0,-2.6,3,3,19,0,13,2,58,3,10,2017
393,312,Anthony Morrow,SG,31,OKC,40,627,,64%,36%,1%,,-7.6,-9.6,3,3,17,0,8,2,45,2,7,2017
394,312,Anthony Morrow,SG,31,CHI,9,87,16%,77%,7%,,,37.9,38.7,0,0,2,0,5,0,13,1,3,2017
395,313,Donatas Motiejūnas,PF,26,NOP,34,479,,,,41%,59%,-11.1,-10.5,14,10,26,4,21,0,79,6,6,2017
396,314,Timofey Mozgov,C,30,LAL,54,1104,,,,,100%,-8.8,-2.2,23,15,75,20,37,5,105,6,26,2017
397,315,Emmanuel Mudiay,PG,20,DEN,55,1406,83%,18%,,,,-5.5,-8.7,52,44,44,15,66,2,491,10,46,2017
398,316,Shabazz Muhammad,SF,24,MIN,78,1516,,37%,60%,2%,,-1.6,-0.9,17,16,26,19,88,3,80,25,49,2017
399,317,Dejounte Murray,PG,20,SAS,38,322,86%,14%,,,,2.3,-6.1,20,12,8,5,12,1,110,1,9,2017
400,318,Jamal Murray,SG,19,DEN,82,1764,41%,58%,1%,,,1.7,3.0,62,37,62,5,45,9,403,12,33,2017
401,319,Mike Muscala,C,25,ATL,70,1237,,,,27%,73%,-4.2,-4.3,32,13,51,4,22,8,228,6,10,2017
402,320,Larry Nance Jr.,PF,24,LAL,63,1442,,,,84%,16%,-4.8,3.9,33,11,83,9,30,4,222,6,12,2017
