,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,Unnamed: 9,2P_FGAxDist,0_3_FGAxDist,3_10_FGAxDist,10_16_FGAxDist,16_3P_FGAxDist,3P_FGAxDist,Unnamed: 16,2P_FGPxDist,0_3_FGPxDist,3_10_FGPxDist,10_16_FGPxDist,16_3P_FGPxDist,3P_FGPxDist,Unnamed: 23,2PAstP,3PAstP,Unnamed: 26,Dunks_FGA,Num_Dunks,Unnamed: 29,Corner_3PFGA,Corner_3PP,Unnamed: 32,Heaves_Att,Heaves_Made,Season
142,114,Troy Daniels,SG,23,TOT,47,397,.370,21.9,,.285,.061,.036,.030,.158,.715,,.383,.400,.333,.000,.462,.364,,.667,.767,,.000,0,,.220,.385,,0,0,2015
143,114,Troy Daniels,SG,23,HOU,17,108,.319,24.1,,.085,.021,.000,.000,.064,.915,,.500,1.000,,,.333,.302,,.500,.923,,.000,0,,.326,.357,,0,0,2015
144,114,Troy Daniels,SG,23,MIN,19,154,.322,20.9,,.339,.068,.068,.034,.169,.661,,.300,.000,.250,.000,.500,.333,,.667,.769,,.000,0,,.205,.500,,0,0,2015
145,114,Troy Daniels,SG,23,CHO,11,135,.458,21.2,,.390,.085,.034,.051,.220,.610,,.435,.600,.500,.000,.462,.472,,.700,.647,,.000,0,,.111,.250,,0,0,2015
146,115,Gigi Datome,SF,27,TOT,21,209,.483,17.7,,.551,.135,.079,.157,.180,.449,,.510,.667,.714,.429,.375,.450,,.600,.944,,.034,3,,.125,.200,,0,0,2015
147,115,Gigi Datome,SF,27,DET,3,17,.417,12.8,,.667,.333,.083,.167,.083,.333,,.500,.500,1.000,.500,.000,.250,,.250,1.000,,.000,0,,.250,.000,,0,0,2015
148,115,Gigi Datome,SF,27,BOS,18,192,.494,18.4,,.532,.104,.078,.156,.195,.468,,.512,.750,.667,.417,.400,.472,,.667,.941,,.039,3,,.111,.250,,0,0,2015
149,116,Brandon Davies,PF,23,TOT,27,423,.401,11.5,,.752,.336,.182,.109,.124,.248,,.456,.478,.320,.533,.529,.235,,.660,.875,,.022,3,,.059,.000,,0,0,2015
150,116,Brandon Davies,PF,23,PHI,20,379,.412,11.4,,.748,.345,.185,.101,.118,.252,,.472,.488,.318,.583,.571,.233,,.667,.857,,.025,3,,.033,.000,,0,0,2015
151,116,Brandon Davies,PF,23,BRK,7,44,.333,12.8,,.778,.278,.167,.167,.167,.222,,.357,.400,.333,.333,.333,.250,,.600,1.000,,.000,0,,.250,.000,,0,0,2015
152,117,Anthony Davis,PF,21,NOP,68,2455,.535,9.5,,.990,.354,.169,.178,.289,.010,,.540,.734,.433,.451,.419,.083,,.715,1.000,,.135,150,,.333,.000,,3,0,2015
153,118,Ed Davis,PF,25,LAL,79,1840,.601,2.7,,1.000,.714,.247,.036,.000,.000,,.601,.687,.388,.353,,,,.652,,,.181,80,,,,,0,0,2015
154,119,Glen Davis,PF,29,LAC,74,904,.459,7.4,,.984,.490,.200,.110,.180,.016,,.466,.616,.451,.214,.217,.000,,.761,,,.020,5,,.000,,,1,0,2015
155,120,Andre Dawkins,SG,23,MIA,4,22,.167,25.0,,.000,.000,.000,.000,.000,1.000,,,,,,,.167,,,1.000,,.000,0,,.167,.000,,0,0,2015
156,Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,2015
157,121,Austin Daye,SF,26,TOT,34,344,.355,17.7,,.496,.106,.121,.128,.142,.504,,.371,.533,.235,.389,.350,.338,,.577,.958,,.007,1,,.296,.524,,0,0,2015
158,121,Austin Daye,SF,26,SAS,26,268,.348,17.7,,.504,.087,.139,.130,.148,.496,,.362,.500,.250,.400,.353,.333,,.571,.947,,.009,1,,.281,.563,,0,0,2015
159,121,Austin Daye,SF,26,ATL,8,76,.385,17.9,,.462,.192,.038,.115,.115,.538,,.417,.600,.000,.333,.333,.357,,.600,1.000,,.000,0,,.357,.400,,0,0,2015
160,122,Dewayne Dedmon,C,25,ORL,59,845,.562,3.2,,.994,.679,.272,.019,.025,.006,,.565,.673,.341,.333,.250,.000,,.538,,,.309,40,,.000,,,0,0,2015
161,123,Matthew Dellavedova,SG,24,CLE,67,1380,.362,18.0,,.456,.059,.202,.121,.075,.544,,.307,.389,.242,.351,.348,.407,,.326,.897,,.000,0,,.323,.315,,0,0,2015
162,124,Luol Deng,SF,29,MIA,72,2421,.469,13.0,,.720,.309,.122,.098,.192,.280,,.513,.646,.458,.377,.404,.355,,.595,.974,,.028,21,,.495,.440,,2,0,2015
163,125,DeMar DeRozan,SG,25,TOR,60,2100,.413,12.8,,.911,.193,.152,.228,.338,.089,,.426,.644,.393,.372,.352,.284,,.417,.960,,.033,29,,.648,.386,,1,0,2015
164,126,Boris Diaw,PF,32,SAS,81,1984,.460,11.7,,.733,.285,.285,.074,.089,.267,,.512,.611,.489,.383,.375,.320,,.540,.963,,.002,1,,.124,.143,,0,0,2015
165,127,Gorgui Dieng,C,25,MIN,73,2193,.506,7.6,,.988,.404,.236,.213,.133,.012,,.510,.638,.347,.569,.309,.167,,.632,1.000,,.104,49,,.000,,,3,0,2015
166,128,Spencer Dinwiddie,PG,21,DET,34,455,.302,15.4,,.615,.219,.154,.112,.130,.385,,.375,.459,.269,.316,.409,.185,,.128,.167,,.006,1,,.062,.250,,2,0,2015
167,129,Joey Dorsey,PF,31,HOU,69,854,.552,2.4,,.993,.772,.207,.007,.007,.007,,.556,.616,.367,.000,.000,.000,,.750,,,.262,31,,.000,,,1,0,2015
168,130,Toney Douglas,SG,28,NOP,12,177,.373,15.3,,.647,.176,.157,.137,.176,.353,,.424,1.000,.250,.000,.333,.278,,.071,1.000,,.000,0,,.278,.600,,0,0,2015
169,131,Chris Douglas-Roberts,SG,28,LAC,12,103,.238,10.9,,.667,.429,.143,.048,.048,.333,,.286,.444,.000,.000,.000,.143,,.500,1.000,,.048,1,,.857,.167,,0,0,2015
170,132,Goran Dragić,SG-PG,28,TOT,78,2640,.501,11.0,,.742,.414,.105,.126,.096,.258,,.555,.699,.381,.373,.354,.347,,.383,.756,,.001,1,,.320,.349,,0,0,2015
171,132,Goran Dragić,SG,28,PHO,52,1735,.501,11.3,,.726,.405,.108,.118,.096,.274,,.556,.705,.356,.388,.354,.355,,.434,.758,,.001,1,,.366,.324,,0,0,2015
172,132,Goran Dragić,PG,28,MIA,26,905,.502,10.4,,.774,.433,.099,.142,.096,.226,,.552,.686,.438,.348,.355,.329,,.283,.750,,.000,0,,.205,.467,,0,0,2015
173,133,Zoran Dragić,SG,25,TOT,16,75,.367,14.0,,.533,.400,.033,.033,.067,.467,,.500,.667,.000,.000,.000,.214,,.500,1.000,,.067,2,,.357,.400,,0,0,2015
174,133,Zoran Dragić,SG,25,PHO,6,13,.250,16.3,,.375,.375,.000,.000,.000,.625,,.667,.667,,,,.000,,.500,,,.125,1,,.400,.000,,0,0,2015
